title,artist,genre,bpm,energy,dance
Comedy,Gen Hoshino,acoustic,87.917,0.461,0.676
Ghost - Acoustic,Ben Woodward,acoustic,77.489,0.166,0.42
To Begin Again,Ingrid Michaelson,acoustic,76.332,0.359,0.438
Can't Help Falling In Love,Kina Grannis,acoustic,181.74,0.0596,0.266
Hold On,Chord Overstreet,acoustic,119.949,0.443,0.618
Days I Will Remember,Tyrone Wells,acoustic,98.017,0.481,0.688
Say Something,A Great Big World,acoustic,141.284,0.147,0.407
I'm Yours,Jason Mraz,acoustic,150.96,0.444,0.703
Lucky,Jason Mraz,acoustic,130.088,0.414,0.625
Hunger,Ross Copperman,acoustic,78.899,0.632,0.442
Give Me Your Forever,Zack Tabudlo,acoustic,99.905,0.363,0.627
I Won't Give Up,Jason Mraz,acoustic,133.406,0.303,0.483
Solo,Dan Berk,acoustic,124.234,0.314,0.489
Bad Liar,Anna Hamilton,acoustic,87.103,0.234,0.691
Hold On - Remix,Chord Overstreet,acoustic,120.004,0.78,0.755
Falling in Love at a Coffee Shop,Landon Pigg,acoustic,83.457,0.561,0.489
ily (i love you baby),Andrew Foy,acoustic,110.154,0.112,0.706
At My Worst,Andrew Foy,acoustic,91.803,0.0841,0.795
Photograph,Boyce Avenue,acoustic,107.946,0.32,0.717
Demons,Boyce Avenue,acoustic,90.032,0.351,0.678
93 Million Miles,Jason Mraz,acoustic,140.182,0.454,0.572
Unlonely,Jason Mraz,acoustic,97.988,0.667,0.796
Bella Luna,Jason Mraz,acoustic,120.06,0.454,0.755
Winter Wonderland,Jason Mraz,acoustic,145.363,0.309,0.62
If It Kills Me,Jason Mraz,acoustic,143.793,0.429,0.633
All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,202.019,0.455,0.593
Party of One,Brandi Carlile,acoustic,165.4,0.206,0.296
Lonely This Christmas,KT Tunstall,acoustic,85.262,0.153,0.409
Throwing Good After Bad,Brandi Carlile,acoustic,138.016,0.0952,0.501
This Time Tomorrow,Brandi Carlile,acoustic,91.626,0.326,0.606
The Haves,Eddie Vedder,acoustic,151.832,0.519,0.474
When You're Wrong,Brandi Carlile,acoustic,88.029,0.301,0.568
You and Me on the Rock,Brandi Carlile,acoustic,172.075,0.686,0.568
"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,acoustic,148.155,0.666,0.476
Trampoline - Acoustic,Highland Peak,acoustic,107.893,0.2,0.596
透明だった世界,Motohiro Hata,acoustic,168.21,0.914,0.373
Pieces,Andrew Belle,acoustic,137.018,0.652,0.494
A Drop in the Ocean,Ron Pope,acoustic,73.139,0.393,0.447
So Far Away - Acoustic,Adam Christopher,acoustic,149.02,0.331,0.576
The Enemy,Andrew Belle,acoustic,121.974,0.89,0.536
Build It Better,Aron Wright,acoustic,94.951,0.333,0.526
Sleepwalking in the Rain,Chord Overstreet,acoustic,80.075,0.381,0.501
Gravity,Sara Bareilles,acoustic,168.964,0.275,0.27
What's Left of You,Chord Overstreet,acoustic,117.969,0.507,0.731
Pano,Zack Tabudlo,acoustic,174.839,0.457,0.375
Sky's Still Blue,Andrew Belle,acoustic,171.864,0.791,0.43
And I Love Her,Kurt Cobain,acoustic,96.638,0.282,0.616
We Can't Stop,Boyce Avenue,acoustic,80.057,0.347,0.705
Always Be My Baby,Tim Halperin,acoustic,139.884,0.255,0.582
Alone with You,Canyon City,acoustic,86.664,0.274,0.549
Making All Things New,Aaron Espe,acoustic,99.978,0.355,0.787
She Used To Be Mine,Sara Bareilles,acoustic,81.05,0.303,0.397
In My Veins - Feat. Erin Mccarley,Andrew Belle,acoustic,128.012,0.42,0.548
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,118.042,0.403,0.787
A Drop In the Ocean,Ron Pope,acoustic,139.966,0.573,0.484
Superman (It's Not Easy),Five For Fighting,acoustic,102.089,0.416,0.382
When the End Comes,Andrew Belle,acoustic,91.98,0.575,0.541
You're Still The One,Bailey Jehl,acoustic,119.698,0.473,0.607
Light Me Up,Ingrid Michaelson,acoustic,147.928,0.595,0.417
Kaleidoscope,A Great Big World,acoustic,108.024,0.913,0.709
The Long Road,Eddie Vedder,acoustic,109.236,0.342,0.537
What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,90.894,0.336,0.602
Have It All,Jason Mraz,acoustic,82.001,0.638,0.643
Heavy Heart,Gabrielle Aplin,acoustic,150.055,0.7,0.451
The House We Never Built,Gabrielle Aplin,acoustic,139.669,0.391,0.546
Society,Eddie Vedder,acoustic,161.858,0.327,0.561
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,85.994,0.541,0.479
Guaranteed,Eddie Vedder,acoustic,100.734,0.4,0.436
Brave,Sara Bareilles,acoustic,185.063,0.836,0.551
Heaven Knows,Five For Fighting,acoustic,97.631,0.845,0.6
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,90.078,0.145,0.492
Fairytale Of New York,KT Tunstall,acoustic,117.888,0.555,0.447
Hold On,KT Tunstall,acoustic,105.549,0.937,0.661
Suddenly I See,KT Tunstall,acoustic,100.499,0.78,0.603
Rain,Motohiro Hata,acoustic,92.003,0.655,0.626
Somebody Else - Acoustic,Callum J Wright,acoustic,114.99,0.38,0.794
Pieces (Hushed),Andrew Belle,acoustic,69.642,0.279,0.52
Mirrors,Boyce Avenue,acoustic,76.971,0.658,0.545
Stand by Me,Boyce Avenue,acoustic,115.189,0.266,0.728
Losing Me,Gabrielle Aplin,acoustic,133.86,0.407,0.66
なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,83.449,0.161,0.357
You’re Beautiful - Acoustic,John Adams,acoustic,147.207,0.154,0.479
Hikare Inochi,Kitri,acoustic,102.033,0.769,0.592
How To Lose a Girl,Tyler Ward,acoustic,80.011,0.454,0.7
Can’t Help Falling in Love,Boyce Avenue,acoustic,100.044,0.197,0.402
Dive Deep (Hushed),Andrew Belle,acoustic,135.86,0.378,0.507
When the Party's over (Acoustic Piano),Ben Woodward,acoustic,124.96,0.226,0.619
Boston,Augustana,acoustic,147.01,0.571,0.404
